,0
0,Colorado
1,Connecticut
2,Delaware
3,Hawaii
4,Illinois
5,Indiana
6,Kansas
7,Louisiana
8,Maine
9,Maryland
10,Massachusetts
11,Michigan
12,Minnesota
13,Mississippi
14,Montana
15,Nebraska
16,Nevada
17,North Carolina
18,Oklahoma
19,Oregon
20,Pennsylvania
21,Rhode Island
22,South Carolina
23,Tennessee
24,Utah
25,Vermont
26,Virginia
27,West Virginia
28,Wisconsin
29,Wyoming
